Datetime,Tweet Id,Text,Username,total_length_characters,total_count_words,Sentiment,Length,Word_counts
2022-03-19 23:42:15+00:00,1505328831489458177,someon pleas explain bulgaria nato ukraine️ isn't ps don't give “corruption” crap russia russian russianukrainianwar ukrainerussianwar,JWC16908259,134,16,-1,134,16
2022-03-19 23:41:12+00:00,1505328568200478725,sbarchi migliaia dallafrica e la linea di draghilamorgeseguerini non cambia poi non soprendetevi se la maggioranza silenziosa simpatizza con putin e lo vede come un liberator luomo grado di ripulir la stalla russia russianukrainianwar draghivattenesubito ,vitto_erre,255,35,0,255,35
2022-03-19 23:37:57+00:00,1505327749313007621,captur kyiv militari analyst say requir violent bloodi conflict could world largest urban battl  yearsrussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,223,25,-1,223,25
2022-03-19 23:36:14+00:00,1505327317568032768,feel like pixabay tri tell someth 🤔but that case what pexel sayingwarofthestockimagesitesukrainerussianwar ukrainewar russianukrainianwar ,mikepumfree,138,14,0,138,14
2022-03-19 23:34:54+00:00,1505326982606860295,è la vostra propaganda battent che è inefficac democratico nascondet lorror della società multirazzial e vi invent migliaia di morti nell città dellucraina non riuscit convincer un singolo conservator parlat ai vostrirussianukrainianwar stop liber ,vitto_erre,248,34,-1,248,34
2022-03-19 23:32:05+00:00,1505326272704094215,ukrain futur direct війнавукраїні russianukrainianwar stopputinnow standwithukrain ,OlyaVoloshyna,83,7,1,83,7
2022-03-19 23:31:16+00:00,1505326064914124802,elcomercioperu 🧐🇺🇦🇷🇺🇺🇦 misil hipersónico ruso kinzhal golpea un depósito de municion ucranianorusia ucrania russianukrainianwar ,cgchamochumbit,128,14,0,128,14
2022-03-19 23:29:37+00:00,1505325652299464707,uncensor ukrainea messag governor kievklitschkoth blood hand toorussianukrainianwarstoprussianaggress stopputin stoprussia slavaukrain stopthewar ,UkrainePressOrg,146,12,0,146,12
2022-03-19 23:28:21+00:00,1505325331351150595,⚡️artilleri shell warehous build paint varnish product sumi caught fire info victim moment  state emerg servic ukraineputin standwithukraine️ russia russian russianukrainianwar ,Helll000000,177,21,-1,177,21
2022-03-19 23:26:56+00:00,1505324973921120256,هيئة الأمن الفيدرالي الروسية تحذر من خطر انجراف ألغام بحرية أوكرانية باتجاه البوسفور والبحر المتوسطshahidvip endthesiegeonyemen russianukrainianwar ufclondon ad,BnshKhaled,160,19,0,160,19
2022-03-19 23:26:33+00:00,1505324880840953856,drop doozey snoopdogg amp octob london benefit ukrain refuge raribl  nfts left floor price  eth  russianukrainianwar charitynft  ,Sir_Gadfly,129,17,0,129,17
2022-03-19 23:25:37+00:00,1505324646006149127,cnn report russian cruis missil shot north kyivrussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,168,18,0,168,18
2022-03-19 23:20:14+00:00,1505323291778904071,intercept convers russianmilitari motherwer expend wrote refus fightrussia russianukrainianwar russiansoldi ,KatyaMK26,108,10,0,108,10
2022-03-19 23:19:31+00:00,1505323108105961473,russianukrainianwarthi thermobar missil capabl shockwav see around explos essenti vacuum hotspot — air suck temperatur skyrocket  burn anyth vicin insan temperatur ,emmmtrader,164,21,-1,164,21
2022-03-19 23:17:14+00:00,1505322536388771843,russianukrainianwarbreak accord onlin report russia start use thermobar rocket  ukrainian militari amp nazi battalion posit ,emmmtrader,124,15,0,124,15
2022-03-19 23:17:07+00:00,1505322507158450176,mklenger musketanna look care you'll realiz mean war sovereign state yugoslav war state collaps russianukrainianwar largest conflict nation europ sinc ,hurt_chinese,151,20,-1,151,20
2022-03-19 23:15:32+00:00,1505322107151941633,drbrianmay saw video made ukrainian soldier sing version we rock you ukrainian russianukrainianwar,Windemere22,98,13,0,98,13
2022-03-19 23:15:05+00:00,1505321993385791489,uncensor ukraineoffens newsfootag report show ukrainian arm forc  uragan mlrs fire russian posit march   unknownrussianukrainianwarstoprussianaggress stopputin stoprussia slavaukrain stopthewar ,UkrainePressOrg,194,19,0,194,19
2022-03-19 23:14:14+00:00,1505321778935181313,la russia utilizza missili ipersonici per colpir lucraina probabilment usciti da qualch base migliaia di km di distanza la stessa che si sentiva minacciata dallavanzata della nato era una scusa pueril benaltristi del cazzo russianukrainianwar,smaciocchi,242,35,-1,242,35
2022-03-19 23:14:00+00:00,1505321722546950146,video battl ukrainian siderussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,147,14,0,147,14
2022-03-19 23:13:41+00:00,1505321643136200712,whatev thing brexit least uk need asham part eu whos unableunwil react properlyeffectivelyrussianukrainianwar shameoncollabor,meganis1248,125,14,-1,125,14
2022-03-19 23:11:23+00:00,1505321060534792195,germani franc support russia humili ukrain part natothi explain part nato inabl react war crimesth question what use pactwhat countri shall sold nextrussianukrainianwar shameoncollabor,meganis1248,184,24,0,184,24
2022-03-19 23:09:57+00:00,1505320703091888133,swarabhask ukrainerussianwar russianukrainianwar ,kkgpandey_GP,49,3,0,49,3
2022-03-19 23:09:36+00:00,1505320612775956482,なんで戦争を止めないのかな…人が沢山死んでいるのに…人の命より大切なものは無いよ権力の為に、人の命を犠牲にするのは間違いだよそれは間違いだよ‼️russianukrainianwarsavethepeopl nowar ,babychef_mobi,110,2,0,110,2
2022-03-19 23:09:23+00:00,1505320559877533704,volunt go ukrain die run away iraq afghan war experi best stay belong bidenisalaughingstock afghanmus vladimirputin russianukrainianwar russianukrainiancrisi ,Jimi902100,158,18,1,158,18
2022-03-19 23:09:03+00:00,1505320473676165122,🇺🇦granni poison 🇷🇺soldier dumpl 😯appar 🇷🇺armi starv old 🇷🇺strategi auster soldier thus forc ruthless dont attack dont eat russianukrainianwar russia,notitia_aeterna,148,20,-1,148,20
2022-03-19 23:08:55+00:00,1505320440876699655,germani franc sell ukrain putin oil gasto think countri consid leader eu repres european valueswhatev valu decenc respect human among themrussianukrainianwar shameoncollabor,meganis1248,173,22,0,173,22
2022-03-19 23:08:33+00:00,1505320350963441665,🇷🇺🚀alleg video kinzhal hyperson missil ukrainerussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev kinzhal ,EliasMezaCota,175,17,0,175,17
2022-03-19 23:08:32+00:00,1505320345192079366,вы напали на страну  без причины  сейчас вымирают русские люди  почему это  потому что так хочет путин  тысячи людей гибнут изза ненужной войны  прекратить войнуukrain zelenskyyua ukrayna russianukrainianwar kremlinrussia,ardasemiz1,221,29,0,221,29
2022-03-19 23:06:59+00:00,1505319956606427140,روس نے یوکرین میں ہائپرسونک میزائل کنزال فائر کردیا کنزال میزائل  سپرسونک انٹرسیپٹر طیارے کے ذریعے فائر کیا گیا اس میزائل کی رفتار ایک لڑاکا طیارے سے بھی زیادہ ہوتی ہے جسے روکنا ناممکن ہوتا ہےrussianukrainianwar,naveedaslam1978,211,36,0,211,36
2022-03-19 23:06:31+00:00,1505319838553673732,amount former pms european politician work today russian oilga sector rais question loyaltyagendait serious investigatedrussianukrainianwar shameoncollabor,meganis1248,155,16,-1,155,16
2022-03-19 23:05:13+00:00,1505319509770616832,blm ✊🏾 russian prison 🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺 istandwithrussia russianukrainianwar alllivesmatt blacklivesmatt,DrMarkusPhD,101,9,0,101,9
2022-03-19 23:04:23+00:00,1505319299174612999,merkel creat immigr crisi europeincident germani fed refuge block arrivalit took year german financ polit make today war possiblerussianukrainianwar shameoncollabor,meganis1248,164,20,0,164,20
2022-03-19 23:03:43+00:00,1505319133382160390, ° day di russianukrainianwar oltr cagliarimilan  sissi celentano tempo per legger il dark romanc bloodi bride la sposa del vampiro disponibil anch grati con kindleunlimit su ,wordsandmore1,175,26,-1,175,26
2022-03-19 23:03:14+00:00,1505319012854648836, день russianukrainianwar бомбили так что рама на балконе гнулась а в остальном обычный выходной немного погуляли вечером посмотрели фильм с попкорном интересно во сколько будут бомбить орки сдохнут слава украине 🇺🇦 stopwar ukrain,OlgaOlya5623,230,33,0,230,33
2022-03-19 23:02:26+00:00,1505318810915586049, ° day di russianukrainianwar oltr cagliarimilan  sissi celentano tempo per legger il giallo il detect che amava chet baker disponibil anch grati con kindleunlimit su ,wordsandmore1,167,25,0,167,25
2022-03-19 23:01:56+00:00,1505318683446546432,sholz putin blameit copi hitler blamedespic untru alli didnt find oneman armyon guy didnt execut holocaust kill million destroy europenow also quit boy killrussianukrainianwar shameoncollabor,meganis1248,191,25,-1,191,25
2022-03-19 23:00:00+00:00,1505318199746719748,russian tank attack mariupol ukrainerussiawar ukrainerussianwar russianukrainianwar ,Ukraine_WarVids,84,7,0,84,7
2022-03-19 22:59:27+00:00,1505318060076503040, ° day di russianukrainianwar oltr cagliarimilan  sissi celentano tempo per legger il fantasi romanc la mietitric di elfi disponibil anch grati con kindleunlimit su ,wordsandmore1,165,24,0,165,24
2022-03-19 22:59:09+00:00,1505317983383695368,report russian belarusian troop could attack ukrain brest attempt cut ukrain western suppliesrussiainvadedukrain russianukrainianwar ,RussiaVsWorld_,133,14,0,133,14
2022-03-19 22:58:35+00:00,1505317841381343232,germani franc keep support putin perhap consum boycott extend russiabelaruscorpor also countriesit may seem unfair corpor could pressur governmentsrussianukrainianwar shameoncollabor,meganis1248,182,20,-1,182,20
2022-03-19 22:58:26+00:00,1505317805574533129,mariupol command  patrol battalion  separ brigad nation guard ukrain lieuten colonel yuriy roy kill dpr sniper russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov ,EliasMezaCota,200,25,0,200,25
2022-03-19 22:57:32+00:00,1505317577697943555,ukrain ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar la base militair de mykolaev été bombardé alor que  soldat ukrainien sy trouvaient  corp ont été retrouvé sous les décombr ,FreeFrance,197,26,-1,197,26
2022-03-19 22:57:23+00:00,1505317539450015745,ukrainian  millon de desplazado standwithukraine️ ukraineunderattack russiainvadedukrain putinisawarcrimin stopputin russianukrainianwar нетвойне россиясмотри беларусь ,parrietarex,168,13,0,168,13
2022-03-19 22:57:06+00:00,1505317468415438848,kremlinrussia asesino putin russianukrainianwar russia stopputinnow,loa_82,67,6,0,67,6
2022-03-19 22:55:23+00:00,1505317037425496064,destruct underground hangar highprecis missil strikerussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,173,16,0,173,16
2022-03-19 22:54:37+00:00,1505316842654650376,wonder sholzmacron talk putinlisten vlad solv faster delay sabotag sanction know bad busi cant nuke themi hope paranoid conspiracyrussianukrainianwar shameoncollabor,meganis1248,165,20,-1,165,20
2022-03-19 22:54:07+00:00,1505316717005873153, ° day di russianukrainianwar oltr cagliarimilan  sissi celentano tempo perlaura ceretamo maioruml donn della storiadisponibil anch grati con kindleunlimit ,wordsandmore1,156,19,0,156,19
2022-03-19 22:53:24+00:00,1505316536382279682, ° day di russianukrainianwar oltr cagliarimilan  sissi celentano tempo per→ il  marzo  nellambito di crossroad jazz e altro emilia romagna presso il teatro ebe stignani di imola bologna appuntamento con gonzalo ,wordsandmore1,212,31,0,212,31
2022-03-19 22:52:55+00:00,1505316415242485761, ° day di russianukrainianwar oltr cagliarimilan  sissi celentano tempo per→ il  marzo  nellambito di crossroad jazz e altro emilia romagna presso ridotto del teatro ebe stignani di imola bologna appuntamento ,wordsandmore1,209,30,0,209,30
2022-03-19 22:51:48+00:00,1505316136220610565,german politician ukraineat begin invas sens help youv got hour leftcurr your annoy help ushow despic scumbag elect  centuri european democracyrussianukrainianwar shameoncollabor,meganis1248,178,22,1,178,22
2022-03-19 22:51:43+00:00,1505316114653323265,increas worri verac proverb fair love war  ukrainerussianwar russianukrainianwar wwiii,geogeoplots,86,10,1,86,10
2022-03-19 22:51:37+00:00,1505316090137747457,uncensor ukraineat ralli kherson occupi open fire🤬video defens forc commandrussianukrainianwarstoprussianaggress stopputin stoprussia slavaukrain stopthewar ,UkrainePressOrg,157,14,0,157,14
2022-03-19 22:50:44+00:00,1505315867097247757,🇺🇦 mm  howitz ukrainian arm forc fire russiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,159,18,0,159,18
2022-03-19 22:50:18+00:00,1505315756401115139,realli kremlinrussia  want ukrian russianukrainianwar vladimir putin lavrov,Leboldbenaiah,75,8,0,75,8
2022-03-19 22:47:51+00:00,1505315141075755013,sholz poor russian boy sent fightthos boy bomb citi shoot civilian kill kid rape pillagedo remind boy year agopoor guy freez decid burn peoplerussianukrainianwar shameoncollabor,meganis1248,177,25,-1,177,25
2022-03-19 22:45:54+00:00,1505314648014221314,russian attack ukrainian base mykolaiv kill dozen  faceofwar 🇺🇦🔥🇷🇺russiansukraine️ russia ukrainerussianwar russianukrainianwar mykolaiv,Writer_Ajit111,136,13,-1,136,13
2022-03-19 22:45:37+00:00,1505314578145718272,sholz putin blameactu trueyou merkel macron blame eitheryouv support psycho yearsyou still financ himand still humili ukrain lack support attituderussianukrainianwar shameoncollabor,meganis1248,181,21,0,181,21
2022-03-19 22:44:55+00:00,1505314401754263558,putin continu destroy kharkivstandwithukraine️ ukraineunderattack russiainvadedukrain terrorussia putinisawarcrimin stopputin russianukrainianwar russiagohom нетвойне россиясмотри ,FelixZeFabCat,180,13,-1,180,13
2022-03-19 22:44:14+00:00,1505314229557026822,putin continu destroy kharkivstandwithukraine️ ukraineunderattack russiainvadedukrain terrorussia putinisawarcrimin stopputin russianukrainianwar russiagohom нетвойне россиясмотри ,olex_scherba,180,13,-1,180,13
2022-03-19 22:44:11+00:00,1505314219394220039,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar la guerr en ukrain fait augment les prix du carbur de la nourritur et des transportsun ouragan de faim et un effondr du systèm alimentair mondial doit être évité,FreeFrance,228,34,0,228,34
2022-03-19 22:44:04+00:00,1505314188520210432,war evil justic caus won't justic patriot caus won't patriot morewar ukrainewar ukrainerussianwar ukraine️ russianukrainianwar russia russiaukrain stopthewar,snipercie,157,18,-1,157,18
2022-03-19 22:43:42+00:00,1505314097109213188,👏 bond human anim profound👏ukrain russianukrainianwar pet ,pdjmoo,58,7,0,58,7
2022-03-19 22:43:35+00:00,1505314067682013186,russianasset mtg foxnewsfascistpropaganda trump russianukrainianwar ,boomer_sa,68,5,0,68,5
2022-03-19 22:42:21+00:00,1505313757412610058,european seen us war iraq war oilhow see germani franc practic support russia exchang oil gasrussianukrainianwar shameoncollabor,meganis1248,128,17,0,128,17
2022-03-19 22:41:58+00:00,1505313660264235010,main thing new report ministri defens russian federationrussiaukraineconflict russianukrainianwar ukrainerussianwar russia kiev ukrain kyiv mauripol  kharkiv  kharkov  nikolaev ,EliasMezaCota,177,18,1,177,18
2022-03-19 22:40:31+00:00,1505313296718651394,hesit sad despair share sometim least arrog twitter without fear retali govt sad russianukrainianwarrussia russian,TotallyNormal13,114,15,-1,114,15
2022-03-19 22:40:13+00:00,1505313220294324225,germani franc sabotag eu sanction russia delay loophol advis compani leav russiaif that collabor enemi whatrussianukrainianwar shameoncollabor,meganis1248,142,17,0,142,17
2022-03-19 22:38:48+00:00,1505312861349945346,这就是你们支持的乌克兰？abcchines usachinatalk voachina doublestandard russianukrainianwar ,behrman914,79,5,0,79,5
2022-03-19 22:38:32+00:00,1505312797638504448,germani moral problem send weapon ukrain final bare manag send helmet  year old junkthey problem sell weapon russia russianukrainianwar shameoncollabor,meganis1248,151,20,1,151,20
2022-03-19 22:37:58+00:00,1505312653245239296,pope get upset watch russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,134,11,0,134,11
2022-03-19 22:37:50+00:00,1505312621037240327,اوكرانيا russianukrainianwar ,nornnna,29,2,0,29,2
2022-03-19 22:36:55+00:00,1505312390858092561,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kharkiv donbass velyka danylivka près de kharkov près une nuit de combat   ,FreeFrance,142,17,0,142,17
2022-03-19 22:33:53+00:00,1505311626211307521,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kyiv kiev dan la région de zaporozhy les forc ukrainienn ont attaqué une colonn militair russ environ  militair et plusieur véhicul blindé ont été éliminé  ,FreeFrance,223,30,0,223,30
2022-03-19 22:33:48+00:00,1505311603217997827,standard deceit accus other blame result russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,154,13,0,154,13
2022-03-19 22:32:29+00:00,1505311272119713800,جثث الجنود الروس تملأ الأرض بعد كمين نصبه الجيش الأوكرانيبدكم الفيديو ابعتولي ع الخاصاوكرانيا russianukrainianwar,nornnna,113,15,0,113,15
2022-03-19 22:31:50+00:00,1505311107908481024,lib keep give away irrespons ineffect tax cut money could use build sovereign wealth fund could use don't know nation disast mayb insid auspol climatecrisi  russianukrainianwar,Metaporia,176,26,0,176,26
2022-03-19 22:30:23+00:00,1505310745554206727,russianukrainianwar standwithukraine️ ,b8fks,38,2,0,38,2
2022-03-19 22:30:23+00:00,1505310743213723648,madmen mutuallyassuereddestruct putinswarontheworld trumpisarussianasset foxnew russianukrainianwar ,boomer_sa,100,6,0,100,6
2022-03-19 22:29:32+00:00,1505310531187462144,imagin wife daughter relat  face war horribl crime human russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,170,16,0,170,16
2022-03-19 22:27:49+00:00,1505310096858832897,russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,113,7,0,113,7
2022-03-19 22:27:19+00:00,1505309971117854721,russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,113,7,0,113,7
2022-03-19 22:27:05+00:00,1505309913316159489,russianukrainianwar pretti much say ,VekiB71,36,4,1,36,4
2022-03-19 22:27:03+00:00,1505309904625704964,went anoth store today anoth network didn't see hunger everyth ukrainian want deceiv said go look hunger 😂 russia supermarket propaganda ukrain russianukrainianwar россия супермаркет ,MoscowMichail,183,25,-1,183,25
2022-03-19 22:26:54+00:00,1505309866789076992,war crime like unit survivor fight even harder russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,160,15,-1,160,15
2022-03-19 22:25:59+00:00,1505309637410627589,russianukrainianwar unnecessari warjew galatian greek belong europ need leav,id_cline,76,9,0,76,9
2022-03-19 22:24:38+00:00,1505309299068874756,new barbar realiti  russianukrainianwar ,RussiaVsWorld_,40,4,1,40,4
2022-03-19 22:24:33+00:00,1505309278013255682,russianukrainianwar russiaukraineconflict russiainvadedukrain putinwarcrim putin putinwarcrimin ukrainerussiawar ,SteveKaye,113,7,0,113,7
2022-03-19 22:22:40+00:00,1505308800902963205,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kyiv kiev pose café pour les soldat ukrainien entr deux embuscad  ,FreeFrance,133,16,0,133,16
2022-03-19 22:19:27+00:00,1505307994451431425,russianarmi you'r fight “nazis” ukrain you'r kill pregnant mother babi lay arm stop particip illeg war ukrain russianukrainianwar ,mattpope384,130,18,1,130,18
2022-03-19 22:18:50+00:00,1505307839476158464,heyi either need shell schedul closetheskyoverukrain ukrain stopwar russianukrainianwar ,OksanaMuliar,88,9,0,88,9
2022-03-19 22:16:47+00:00,1505307322859462657,hyperson missil speed  mph accuraci depend use chanc hit nato countri high outcomerussianukrainianwar unitedn usa putinhitl zelenksi ,bshorhozer,133,17,1,133,17
2022-03-19 22:13:22+00:00,1505306462741950467,putin speak event front banner read world without👑naz russianukrainianwar abt antih movement americafirst sexist racist proslaveryconserv christian pro whitesupremacywhiteprivileg ,xAsianXGirlx,180,19,0,180,19
2022-03-19 22:13:16+00:00,1505306438394019840,good expaml doubl standard hypocricyrussia ukrain russianukrainianwarukrainerussianwar,kumahabariyako,86,7,1,86,7
2022-03-19 22:12:12+00:00,1505306168280989697,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kyiv kiev une escarmouch côté ukrainien  ,FreeFrance,108,11,0,108,11
2022-03-19 22:11:43+00:00,1505306046981496832,love ukrain  famili daughter mom grandma life ukrainian languagei wanna live freedom motherland 🇺🇦  saveukrain russianukrainianwar russianaggress russiansgohom,loveorhatenata,159,18,1,159,18
2022-03-19 22:10:59+00:00,1505305862637826048,laviat russe🇷🇺 montré le boulon aux défenseur nazi dodessaun tell chose nest possibl quavec une suprémati aérienn total guerreukrain russi russianukrainianwar ,bella3ciao,159,21,0,159,21
2022-03-19 22:08:21+00:00,1505305199317065742,today dialogu btw russia embassi twitter user brought legogroup 🇺🇦 tractor digitaldiplomaci standwithukrain russianukrainianwar ,Ilan_Manor,128,14,0,128,14
2022-03-19 22:06:36+00:00,1505304757908668417,art humil america fuell war russianukrainianwar ,AnnuKaushik253,48,6,0,48,6
2022-03-19 22:05:44+00:00,1505304542472146945,russiainvadedukrain russianukrainianwar russiaukraineconflict ukrainewar ukrainerussianwar ,UkrainRussia22,91,5,0,91,5
2022-03-19 22:04:20+00:00,1505304188334624774,nytim map show accur develop donba russiaukrainewar report interview amp social media comment ukrainerussia ukrainerussiawar russia ukrainerussianwar ukrainewar russianukrainianwar ,I_Katchanovski,181,19,1,181,19
2022-03-19 22:00:35+00:00,1505303244431630341,rememb use ukrain distract tho lie  year new narrat believ ukrainerussianwar seemsthey tell truth russianukrainianwar propaganda liesanddeceit  biolabsinukrain bioweapon ,Richard53028862,170,19,1,170,19
2022-03-19 22:00:20+00:00,1505303184150982657,🇷🇺🇺🇦⚡️mariupol street street fightingukrain mariupol russianukrainianwar russian ,Ishha14,81,7,0,81,7
2022-03-19 22:00:01+00:00,1505303103985311744,بريطاني قاتل بـ أوكرانيا يعود بعد  أيام ما القصة؟رابط التقرير  عينكعلىالعالمالحربالأوكرانيةالروسيةrussianukrainianwarrussiaukraineconflict ,alain_4u,139,11,0,139,11
2022-03-19 22:00:01+00:00,1505303101451890688,theatr mariupol bomb ukrainerussiawar russianukrainianwar ukraineunderattack ,Ukraine_WarVids,77,6,0,77,6
2022-03-19 21:58:03+00:00,1505302607006355456,honesti hope russia ukrain would stop pointless depress war ukrain russianukrainianwar prayforukrain russiaukraineconflict helpukrain ,MelSpyRose1,134,14,-1,134,14
2022-03-19 21:55:22+00:00,1505301930968772608,real beukraina russianukrainianwar ,vinaytiwari9697,35,3,1,35,3
2022-03-19 21:54:57+00:00,1505301826228264963,makichuck nato us delic balanc act ukrain nato clark russianukrainianwar ukrain,WSOnlineNews,79,11,0,79,11
2022-03-19 21:54:43+00:00,1505301767507963904,makichuck nato us delic balanc act ukrain nato clark russianukrainianwar ukrain,Nobby7694,79,11,0,79,11
2022-03-19 21:54:04+00:00,1505301605708705797,zefer cüsse ile değil cesaret ile kazanılırputin zelenski zelenskiy russianukrainianwar ukrania ukrainerussiawar ukrain russianarmi russian ,Ahmet197474,140,15,0,140,15
2022-03-19 21:53:38+00:00,1505301496119762946,keep hear russian mother rise protest death soldier son russianukrainianwar sorri ask russian father  must griev,desole,112,16,0,112,16
2022-03-19 21:53:27+00:00,1505301448028004357,тепер добрий ранок  це той який починається з новин про мертву руснюukrian russianukrainianwar,li_li_la,94,13,0,94,13
2022-03-19 21:53:02+00:00,1505301343191412740,ірпінь цивільні намагалися врятуватися від вбивць російської армії putinwarcrimin putinswar putinmustdi ukraine️ russia russianukrainianwar irpin civilian tri escap killer russian armi ,yadrobotun,185,21,0,185,21
2022-03-19 21:52:52+00:00,1505301305165856776,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kyiv kiev soldat tchétchènes des forc russ inspect un dépôt de munit ukrainien abandonné dan la vill de tokmak ,FreeFrance,178,24,0,178,24
2022-03-19 21:51:10+00:00,1505300877334175762,chernihiv aimless artilleri shell continu residenti neighborhood dozen civilian kill includ children womenukrian russianukrainianwar,hand_SSU,132,14,0,132,14
2022-03-19 21:50:05+00:00,1505300600870760449,word us mean noth taiwan prepar fight war given ineffect un see russianukrainianwar everi countri must learn amp prepar ,akashsarkar00,120,19,-1,120,19
2022-03-19 21:48:07+00:00,1505300107469619202,question didnt botox head🙄🙄botox russiainvadedukrain putin putinwarcrimin ukrain ukrainerussianwar russia russianukrainianwar ,HaveSomeFaith10,126,11,0,126,11
2022-03-19 21:46:31+00:00,1505299705693155333,ukrainerussianwar russia ukrainewar russianukrainianwar ukrainewar kyiv kiev débris dun missil tochka u supposé ukrainien abattu audessus du port de berdiansk par les forc russ ,FreeFrance,177,24,0,177,24
2022-03-19 21:45:04+00:00,1505299340885168131,sound explos today could defin well whether someth explod air defens work destroy target earli morn work air forc undoubt russianukrainianwar  standwithukrain  stopputinnow  ukrain odesa,UkrainianMavka,186,25,1,186,25
